timestamp,id_i,x_i,y_i,vx_i,vy_i,hx_i,hy_i,length_i,width_i,velocity_i_kmh,conf_i,class_i,id_j,x_j,y_j,vx_j,vy_j,hx_j,hy_j,length_j,width_j,velocity_j_kmh,conf_j,class_j,TTC_ij,TTC_ji,severity_ij,severity_ji
8.374,24.0,33.241974,50.314842,-0.17566963,-1.5389628,-0.008809305,-0.07717437,4.6072206,2.0611684,5.5259485,0.78071904,car,26.0,16.295645,34.330223,3.988892,2.7110915,0.20003097,0.13595311,3.9947672,1.8728166,17.35063,0.5014653,car,3.9920735,3.2466676,19.267504,21.391403
8.424,23.0,31.042475,54.564884,1.5321621,-0.27684507,0.07683333,-0.01388295,5.052026,2.4045813,5.6131477,0.75539356,van,26.0,16.296083,34.13243,4.0307493,2.7742147,0.20212999,0.13911855,3.958444,1.8558271,17.43801,0.48220456,car,5.992176,5.64997,15.262573,16.58223
8.424,24.0,33.22825,50.295185,-0.29650325,-1.5413487,-0.014868748,-0.077294014,4.6301875,2.0604196,5.6016526,0.78759104,car,26.0,16.296083,34.13243,4.0307493,2.7742147,0.20212999,0.13911855,3.958444,1.8558271,17.43801,0.48220456,car,3.1207886,3.1643085,21.017298,21.561306
8.475,23.0,31.190346,54.627083,1.537627,-0.27215284,0.077107385,-0.0136476485,5.059351,2.4064107,5.6325026,0.7623397,van,26.0,16.31032,33.898033,4.0531316,2.823361,0.20325239,0.14158309,3.911765,1.8343091,17.376816,0.49759915,car,6.011561,5.670854,15.224676,16.536892
8.475,24.0,33.233025,50.319027,-0.40085697,-1.5305177,-0.020101774,-0.076750875,4.652182,2.0568159,5.6478686,0.7779221,car,26.0,16.31032,33.898033,4.0531316,2.823361,0.20325239,0.14158309,3.911765,1.8343091,17.376816,0.49759915,car,3.0730662,3.174694,21.115225,21.53703
8.525,24.0,33.236584,50.404606,-0.519472,-1.5225862,-0.026049962,-0.07635313,4.6835146,2.0569134,5.7519693,0.77459085,car,26.0,16.318138,33.69455,4.081386,2.8674946,0.20466925,0.14379625,3.8711753,1.8155252,17.354704,0.40454417,car,3.0239394,3.1265314,21.21885,21.632223
8.575,23.0,31.41961,54.70242,1.5229043,-0.26753467,0.07636908,-0.013416062,5.0739264,2.409859,5.585105,0.7869417,van,26.0,16.31077,33.44573,4.1032286,2.8987164,0.2057646,0.14536193,3.8062057,1.8041174,17.229511,0.4764053,car,6.0071692,5.710959,15.231109,16.448132
8.625,24.0,33.080845,50.132103,-0.77499276,-1.5143666,-0.038863562,-0.075940944,4.723321,2.0494936,6.074436,0.7402266,car,26.0,16.362844,33.271614,4.130101,2.9280694,0.20711218,0.1468339,3.763203,1.783604,17.20191,0.9268144,car,3.0268145,2.9378366,21.229195,22.001427
8.675,23.0,31.610968,54.76851,1.5194721,-0.26746976,0.07619697,-0.013412807,5.0432158,2.4479015,5.5841184,0.75483274,van,26.0,16.451376,33.19036,4.176558,2.9576578,0.20944186,0.14831766,3.7217832,1.7787048,17.36086,0.9288101,car,5.9235387,5.693651,15.398732,16.490303
8.725,23.0,31.665955,54.781338,1.5160557,-0.27037808,0.07602564,-0.01355865,5.0044565,2.4780858,5.578073,0.7866123,van,26.0,16.50581,33.034378,4.2152896,2.971837,0.21138413,0.14902872,3.6699226,1.7751988,17.361698,0.9275421,car,5.8822036,5.7022867,15.481302,16.47305
8.775,23.0,31.738512,54.80622,1.513504,-0.26753187,0.075897686,-0.013415921,4.9610014,2.5133781,5.572761,0.79489577,van,26.0,16.642998,33.013744,4.2676754,2.9952233,0.21401112,0.15020145,3.6392603,1.7677665,17.673979,0.9262221,car,5.7928247,5.665233,15.660231,16.565147
8.826,23.0,31.815496,54.823193,1.5083249,-0.26391214,0.07563797,-0.013234402,4.9587846,2.519114,5.557952,0.79469806,van,26.0,16.764797,32.945274,4.308695,3.0105944,0.21606813,0.15097228,3.5991397,1.7560564,17.88457,0.3695608,car,5.7389355,5.661347,15.7675295,16.585007
8.826,26.0,16.764797,32.945274,4.308695,3.0105944,0.21606813,0.15097228,3.5991397,1.7560564,17.88457,0.3695608,car,31.0,15.43066,36.373524,2.8489897,0.16322777,0.1428683,0.008185383,4.124259,2.0841553,10.234073,0.7680514,car,0.9619421,0.48524,25.996204,26.532778
8.876,23.0,31.854994,54.82424,1.5045639,-0.2628811,0.07544937,-0.013182699,4.9552913,2.5244992,5.546952,0.78108615,van,26.0,16.874498,32.84762,4.3353777,3.0141816,0.21740618,0.15115216,3.555328,1.743725,18.095387,0.9249677,car,5.706796,5.6775928,15.831414,16.564571
8.876,26.0,16.874498,32.84762,4.3353777,3.0141816,0.21740618,0.15115216,3.555328,1.743725,18.095387,0.9249677,car,31.0,15.4881115,36.386215,3.0011785,0.16060202,0.15050009,0.00805371,4.1182785,2.08118,10.776382,0.79327315,car,0.9937825,0.5417015,25.944485,26.448174
8.926,23.0,31.877047,54.821148,1.5097235,-0.24615899,0.075708106,-0.012344135,4.8809423,2.5522027,5.557065,0.7806819,van,26.0,16.929964,32.619625,4.347439,3.0069268,0.218011,0.15078835,3.4924004,1.723137,18.159548,0.424012,car,5.920491,6.444012,15.403488,15.032582
8.926,26.0,16.929964,32.619625,4.347439,3.0069268,0.218011,0.15078835,3.4924004,1.723137,18.159548,0.424012,car,31.0,15.53983,36.363575,3.1459298,0.17808953,0.15775895,0.008930655,4.107094,2.0752099,11.298399,0.78315705,car,1.0718057,0.64037776,25.79197,26.278152
8.976,26.0,16.889462,32.269962,4.3479714,2.9892068,0.21803771,0.14989975,3.438259,1.7028103,17.969307,0.31304434,car,31.0,15.59383,36.35584,3.277759,0.18612325,0.16436978,0.009333523,4.099756,2.0707624,11.771847,0.78315705,car,1.198588,0.76356936,25.527328,26.056631
9.026,23.0,32.16657,54.90965,1.565384,-0.26548475,0.07849932,-0.013313264,4.724824,2.6108065,5.7899666,0.7951166,van,26.0,16.851145,31.909735,4.3335013,2.9525843,0.2173121,0.14806324,3.3783011,1.6813366,17.59998,0.9170095,car,6.3266773,6.7380304,14.600765,14.411217
9.026,26.0,16.851145,31.909735,4.3335013,2.9525843,0.2173121,0.14806324,3.3783011,1.6813366,17.59998,0.9170095,car,31.0,15.65346,36.33441,3.4003034,0.20051378,0.17051502,0.010055164,4.091174,2.065362,12.214563,0.81330127,car,1.3373779,0.8884792,25.228481,25.830164
9.076,23.0,32.28312,54.932137,1.5927994,-0.30383077,0.07987411,-0.015236201,4.627778,2.6410632,5.932527,0.78291494,van,26.0,16.821182,31.595934,4.3136277,2.909021,0.2163155,0.14587867,3.328384,1.6647418,17.270712,0.91382843,car,6.3922396,6.842065,14.476473,14.183877
